,freq,s_adj,age,unit,sex,geo,date,rate
266,M,SA,TOTAL,PC_ACT,T,AT,2020-11 ,5.5 
267,M,SA,TOTAL,PC_ACT,T,BE,2020-11 ,6.1 
268,M,SA,TOTAL,PC_ACT,T,BG,2020-11 ,5.0 
269,M,SA,TOTAL,PC_ACT,T,CH,2020-11 ,5.2 
270,M,SA,TOTAL,PC_ACT,T,CY,2020-11 ,7.8 
271,M,SA,TOTAL,PC_ACT,T,CZ,2020-11 ,2.9 
272,M,SA,TOTAL,PC_ACT,T,DE,2020-11 ,0
273,M,SA,TOTAL,PC_ACT,T,DK,2020-11 ,5.7 
274,M,SA,TOTAL,PC_ACT,T,EA,2020-11 ,8.3 
275,M,SA,TOTAL,PC_ACT,T,EA18,2020-11 ,8.3 
276,M,SA,TOTAL,PC_ACT,T,EA19,2020-11 ,8.3 
277,M,SA,TOTAL,PC_ACT,T,EE,2020-11 ,7.8 
278,M,SA,TOTAL,PC_ACT,T,EL,2020-11 ,16.2 
279,M,SA,TOTAL,PC_ACT,T,ES,2020-11 ,16.1 
280,M,SA,TOTAL,PC_ACT,T,EU27_2020,2020-11 ,7.5 
281,M,SA,TOTAL,PC_ACT,T,FI,2020-11 ,7.8 
282,M,SA,TOTAL,PC_ACT,T,FR,2020-11 ,8.8 
283,M,SA,TOTAL,PC_ACT,T,HR,2020-11 ,7.5 
284,M,SA,TOTAL,PC_ACT,T,HU,2020-11 ,4.3 
285,M,SA,TOTAL,PC_ACT,T,IE,2020-11 ,6.0 
286,M,SA,TOTAL,PC_ACT,T,IS,2020-11 ,6.0 
287,M,SA,TOTAL,PC_ACT,T,IT,2020-11 ,8.8 
288,M,SA,TOTAL,PC_ACT,T,JP,2020-11 ,2.9 
289,M,SA,TOTAL,PC_ACT,T,LT,2020-11 ,10.4 
290,M,SA,TOTAL,PC_ACT,T,LU,2020-11 ,6.5 
291,M,SA,TOTAL,PC_ACT,T,LV,2020-11 ,8.1 
292,M,SA,TOTAL,PC_ACT,T,MT,2020-11 ,4.5 
293,M,SA,TOTAL,PC_ACT,T,NL,2020-11 ,4.0 
294,M,SA,TOTAL,PC_ACT,T,NO,2020-11 ,5.0 
295,M,SA,TOTAL,PC_ACT,T,PL,2020-11 ,3.3 
296,M,SA,TOTAL,PC_ACT,T,PT,2020-11 ,7.1 
297,M,SA,TOTAL,PC_ACT,T,RO,2020-11 ,5.1 
298,M,SA,TOTAL,PC_ACT,T,SE,2020-11 ,8.3 
299,M,SA,TOTAL,PC_ACT,T,SI,2020-11 ,4.9 
300,M,SA,TOTAL,PC_ACT,T,SK,2020-11 ,7.1 
301,M,SA,TOTAL,PC_ACT,T,TR,2020-11 ,0
302,M,SA,TOTAL,PC_ACT,T,UK,2020-11 ,0
